trial,step,signal,clicked_paper_id,nearest_centroid_pre,pre_update_max_cosine_st,pre_update_theta_deg,post_update_max_cosine_same_paper,post_update_theta_same_paper_deg,future_liked_mean_similarity,off_thread_drift_cosine_distance,precision_at_5,strong_precision_at_5,mean_relevance_at_5,ndcg_at_5,target_share_at_5,redundancy_at_5
1,1,save,trial01-clicked_target-086,0,0.5832463502883911,54.32080092894477,0.7221266627311707,43.769658073144235,0.7095518708229065,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.563999354839325
1,2,like,trial01-clicked_target-107,0,0.7106653451919556,44.71092454501309,0.7835236191749573,38.41566347294785,0.775396466255188,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.563999354839325
1,3,like,trial01-clicked_target-030,0,0.7752643823623657,39.17099145883582,0.8332012891769409,33.570993934811604,0.826248288154602,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.563999354839325
1,4,like,trial01-clicked_target-091,0,0.8280001878738403,34.10614634711706,0.8731632232666016,29.171666516101638,0.8646268844604492,0.0,1.0,1.0,1.0,1.0,0.2,0.5758069753646851
1,5,save,trial01-clicked_target-073,0,0.8635376691818237,30.283856665478943,0.9129558801651001,24.08291729428821,0.9040064215660095,0.0,1.0,1.0,1.0,1.0,0.2,0.5758069753646851
1,6,like,trial01-clicked_target-035,0,0.9005241990089417,25.77294336974385,0.9272821545600891,21.984960208659125,0.9233110547065735,0.0,1.0,1.0,1.0,1.0,0.2,0.5758069753646851
1,7,like,trial01-clicked_target-018,0,0.9231362342834473,22.611027779665797,0.943962574005127,19.271962620480153,0.9371846318244934,0.0,1.0,1.0,1.0,1.0,0.2,0.5758069753646851
1,8,save,trial01-clicked_target-112,0,0.9354546666145325,20.698275945662893,0.9592663049697876,16.40967085129762,0.9509517550468445,0.0,1.0,1.0,1.0,1.0,0.2,0.5758069753646851
1,9,like,trial01-clicked_target-057,0,0.9523024559020996,17.767534513397955,0.9653459191322327,15.127844111114683,0.9573081731796265,0.0,1.0,1.0,1.0,1.0,0.2,0.5691105723381042
1,10,save,trial01-clicked_target-050,0,0.9566158056259155,16.938937480401563,0.9727053642272949,13.417422280137663,0.9636579751968384,0.0,1.0,1.0,1.0,1.0,0.2,0.5691105723381042
1,11,like,trial01-clicked_target-059,0,0.9634026885032654,15.548757841360615,0.9734450578689575,13.233541348049478,0.9667567014694214,0.0,1.0,1.0,1.0,1.0,0.2,0.5758069753646851
1,12,save,trial01-clicked_target-041,0,0.9682392477989197,14.479022139813246,0.9800516366958618,11.463464095663772,0.9692681431770325,0.0,1.0,1.0,1.0,1.0,0.2,0.5758069753646851
2,1,save,trial02-clicked_target-103,0,0.5006844997406006,59.95470351947055,0.6623997092247009,48.51685393614768,0.6572513580322266,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5737565755844116
2,2,like,trial02-clicked_target-055,0,0.6560964584350586,48.99715838318591,0.7409148216247559,42.19059725375388,0.7347574830055237,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5737565755844116
2,3,save,trial02-clicked_target-059,0,0.7238515615463257,43.626605045608436,0.8200240731239319,34.912796362975556,0.8190557956695557,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5737565755844116
2,4,save,trial02-clicked_target-025,0,0.8193149566650391,34.983723031456485,0.8839731216430664,27.874582997887572,0.8738852739334106,0.0,1.0,1.0,1.0,1.0,0.2,0.5764713883399963
2,5,like,trial02-clicked_target-085,0,0.8747848868370056,28.98047272639976,0.9081838726997375,24.744429558288005,0.9004839658737183,0.0,1.0,1.0,1.0,1.0,0.2,0.5764713883399963
2,6,save,trial02-clicked_target-057,0,0.9008122682571411,25.734957471130286,0.9370833039283752,20.432633524093415,0.9270848631858826,0.0,1.0,1.0,1.0,1.0,0.2,0.5764713883399963
2,7,like,trial02-clicked_target-033,0,0.9289793372154236,21.72373276549406,0.9482584595680237,18.51176878007932,0.9397018551826477,0.0,1.0,1.0,1.0,1.0,0.2,0.5764713883399963
2,8,like,trial02-clicked_target-039,0,0.9379238486289978,20.294233230269427,0.9548225402832031,17.2881003195418,0.9494478106498718,0.0,1.0,1.0,1.0,1.0,0.2,0.571372389793396
2,9,like,trial02-clicked_target-003,0,0.953054666519165,17.625752506992534,0.9658955335617065,15.006704555012186,0.9558683037757874,0.0,1.0,1.0,1.0,1.0,0.2,0.5748540163040161
2,10,save,trial02-clicked_target-049,0,0.9551222324371338,17.23022561077734,0.9717596769332886,13.64896892808702,0.9627181887626648,0.0,1.0,1.0,1.0,1.0,0.2,0.5748540163040161
2,11,like,trial02-clicked_target-020,0,0.9629984498023987,15.634928468398389,0.9731506109237671,13.307037018996498,0.9660096764564514,0.0,1.0,1.0,1.0,1.0,0.2,0.571372389793396
2,12,like,trial02-clicked_target-017,0,0.9659871459007263,14.986419432114115,0.9753278493881226,12.753756337386921,0.9684559106826782,0.0,1.0,1.0,1.0,1.0,0.2,0.5806354284286499
3,1,like,trial03-clicked_target-097,0,0.5924318432807922,53.670230245050625,0.6904292106628418,46.33590578077227,0.6861650347709656,5.960464477539063e-08,1.0,0.8,0.9,0.9395225786842207,0.0,0.5748519897460938
3,2,like,trial03-clicked_target-006,0,0.6967923045158386,45.829786662701544,0.7727478742599487,39.39870908273464,0.7561957240104675,5.960464477539063e-08,1.0,0.8,0.9,0.9395225786842207,0.0,0.5782994031906128
3,3,save,trial03-clicked_target-051,0,0.7549372911453247,40.98010928861967,0.8410614132881165,32.74762745676388,0.8320803046226501,5.960464477539063e-08,1.0,0.8,0.9,0.9395225786842207,0.0,0.5782994031906128
3,4,save,trial03-clicked_target-022,0,0.8322612047195435,33.668276073377385,0.8924988508224487,26.81104940195136,0.8824748992919922,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5773831605911255
3,5,save,trial03-clicked_target-013,0,0.8860946893692017,27.613463373957867,0.9275894165039062,21.937886281006243,0.9149435758590698,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5773831605911255
3,6,save,trial03-clicked_target-088,0,0.9113672375679016,24.30501728849197,0.9438661932945251,19.288686940941343,0.9370346069335938,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5773831605911255
3,7,save,trial03-clicked_target-029,0,0.9391248822212219,20.0948926488159,0.9616032838821411,15.928841180570387,0.9502498507499695,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5773831605911255
3,8,like,trial03-clicked_target-108,0,0.9478297829627991,18.588972207583822,0.9620761871337891,15.829812831399067,0.9572327136993408,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5773831605911255
3,9,like,trial03-clicked_target-008,0,0.9553128480911255,17.19331681091472,0.967544436454773,14.637397462795631,0.9622660875320435,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5773831605911255
3,10,like,trial03-clicked_target-075,0,0.9624181389808655,15.757828655867621,0.9727274775505066,13.411961010058722,0.9657552242279053,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5773831605911255
3,11,save,trial03-clicked_target-063,0,0.9647083878517151,15.267185078028454,0.9778228402137756,12.089170274016805,0.969035804271698,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5801453590393066
3,12,save,trial03-clicked_target-015,0,0.9679943323135376,14.535040864498946,0.9798974990844727,11.50781590092732,0.9710862040519714,5.960464477539063e-08,1.0,1.0,1.0,1.0,0.2,0.5708457231521606
4,1,save,trial04-clicked_target-094,0,0.5387548208236694,57.40108572873829,0.6901572942733765,46.357438638174656,0.6875080466270447,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5728543400764465
4,2,like,trial04-clicked_target-091,0,0.689559817314148,46.404725311338275,0.7671149969100952,39.90447974384904,0.7581935524940491,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5728543400764465
4,3,like,trial04-clicked_target-085,0,0.754754364490509,40.996088689927724,0.8175166845321655,35.16302856721818,0.8134756684303284,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5728543400764465
4,4,like,trial04-clicked_target-031,0,0.8141483068466187,35.49676475476019,0.8627172112464905,30.37694600367537,0.8550652861595154,0.0,1.0,1.0,1.0,1.0,0.2,0.5666216611862183
4,5,save,trial04-clicked_target-004,0,0.8611158132553101,30.5579018759845,0.9113787412643433,24.303415872086973,0.8966380953788757,0.0,1.0,1.0,1.0,1.0,0.2,0.5684545636177063
4,6,save,trial04-clicked_target-081,0,0.8968801498413086,26.249040282884216,0.9345507025718689,20.844321338712422,0.924604058265686,0.0,1.0,1.0,1.0,1.0,0.2,0.5666216611862183
4,7,save,trial04-clicked_target-050,0,0.9236907362937927,22.528249962544216,0.9517590403556824,17.869283854539,0.9428195953369141,0.0,1.0,1.0,1.0,1.0,0.2,0.5684545636177063
4,8,like,trial04-clicked_target-112,0,0.943290650844574,19.38826822713562,0.9587545394897461,16.513147084766842,0.9514440298080444,0.0,1.0,1.0,1.0,1.0,0.2,0.5684545636177063
4,9,like,trial04-clicked_target-035,0,0.9494293928146362,18.29928556531111,0.9632458686828613,15.582241929663454,0.9580749869346619,0.0,1.0,1.0,1.0,1.0,0.2,0.5666216611862183
4,10,save,trial04-clicked_target-026,0,0.9582293033599854,16.618695607928156,0.9737268686294556,13.162822313518673,0.9639816284179688,0.0,1.0,1.0,1.0,1.0,0.2,0.5684545636177063
4,11,save,trial04-clicked_target-068,0,0.9645469784736633,15.302266710379067,0.9777208566665649,12.117038752566703,0.9676200747489929,0.0,1.0,1.0,1.0,1.0,0.2,0.5696440935134888
4,12,like,trial04-clicked_target-054,0,0.9683409929275513,14.455687852404193,0.9770417213439941,12.30103626865476,0.969490647315979,0.0,1.0,1.0,1.0,1.0,0.2,0.5677324533462524
5,1,like,trial05-clicked_target-097,0,0.454967737197876,62.937141597177074,0.5784209966659546,54.660439576498945,0.5654442310333252,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5685321688652039
5,2,save,trial05-clicked_target-071,0,0.5755362510681152,54.86280516079532,0.7166222929954529,44.22368980069815,0.697710394859314,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.574929416179657
5,3,like,trial05-clicked_target-063,0,0.6946821212768555,45.998108205165046,0.7711056470870972,39.5467209277037,0.7666122317314148,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.574929416179657
5,4,like,trial05-clicked_target-009,0,0.7655278444290161,40.0460257262109,0.8257654905319214,34.33382277828157,0.8196824789047241,0.0,1.0,1.0,1.0,1.0,0.2,0.5731554627418518
5,5,save,trial05-clicked_target-007,0,0.818672239780426,35.047900111024134,0.8835489749908447,27.926516797911862,0.8745518326759338,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
5,6,like,trial05-clicked_target-035,0,0.8761934041976929,28.81346920835243,0.9092321395874023,24.60054634016673,0.9008238911628723,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
5,7,save,trial05-clicked_target-079,0,0.897080659866333,26.22305260760796,0.9346800446510315,20.82348471342425,0.9278738498687744,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
5,8,save,trial05-clicked_target-012,0,0.9265841245651245,22.09154724338958,0.9536076784133911,17.520808511340075,0.9449606537818909,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
5,9,like,trial05-clicked_target-011,0,0.9465760588645935,18.813010148270223,0.9611594676971436,16.021236105179472,0.952850878238678,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
5,10,like,trial05-clicked_target-001,0,0.9524842500686646,17.733369207536736,0.9654786586761475,15.098674179823995,0.9588810801506042,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
5,11,save,trial05-clicked_target-119,0,0.9604213237762451,16.173766576625383,0.9751131534576416,12.809358720538787,0.9642085433006287,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
5,12,like,trial05-clicked_target-028,0,0.9639774560928345,15.425427737021217,0.973863959312439,13.128284787802109,0.9671788811683655,0.0,1.0,1.0,1.0,1.0,0.2,0.5717604756355286
6,1,like,trial06-clicked_target-020,0,0.4768942594528198,61.517243112198805,0.5965726375579834,53.375176754198534,0.5883121490478516,-1.1920928955078125e-07,1.0,0.8,0.9,0.9395225786842207,0.0,0.5636826157569885
6,2,like,trial06-clicked_target-070,0,0.5889785289764404,53.915445020422794,0.6876662969589233,46.55434122786255,0.6798304319381714,-1.1920928955078125e-07,1.0,0.8,0.9,0.9395225786842207,0.0,0.5636826157569885
6,3,like,trial06-clicked_target-051,0,0.681134819984436,47.06761434931342,0.7605399489402771,40.48817825787393,0.7522382140159607,-1.1920928955078125e-07,1.0,0.8,0.9,0.9395225786842207,0.0,0.5636826157569885
6,4,like,trial06-clicked_target-106,0,0.7512500882148743,41.301219278758865,0.8148286938667297,35.42957295157165,0.8085708618164062,-1.1920928955078125e-07,1.0,0.8,0.9,0.9395225786842207,0.0,0.5636826157569885
6,5,save,trial06-clicked_target-046,0,0.8129481673240662,35.615016374283435,0.879767894744873,28.385622626550045,0.8663047552108765,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5696843862533569
6,6,like,trial06-clicked_target-092,0,0.8676546812057495,29.812768360931507,0.9028721451759338,25.461795613661273,0.8947034478187561,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5696843862533569
6,7,save,trial06-clicked_target-108,0,0.8917104005813599,26.911031819932482,0.9312166571617126,21.374729231822236,0.923853874206543,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5696843862533569
6,8,save,trial06-clicked_target-027,0,0.9232292175292969,22.597167000843065,0.9514638185501099,17.92432703104376,0.9422439336776733,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5742501020431519
6,9,like,trial06-clicked_target-101,0,0.9459705948829651,18.920289403120186,0.9607158899307251,16.11306581472815,0.950606644153595,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5696843862533569
6,10,like,trial06-clicked_target-098,0,0.9510194063186646,18.006879402392908,0.964408278465271,15.33234996395171,0.9571613073348999,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5696843862533569
6,11,save,trial06-clicked_target-065,0,0.9587710499763489,16.509818596945447,0.974069356918335,13.076370849119293,0.9631326794624329,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5696843862533569
6,12,like,trial06-clicked_target-012,0,0.9642846584320068,15.359113982830221,0.9740879535675049,13.071660573212187,0.9662294983863831,-1.1920928955078125e-07,1.0,1.0,1.0,1.0,0.2,0.5696843862533569
7,1,like,trial07-clicked_target-037,0,0.593324601650238,53.60671131605662,0.6911433339118958,46.27931806925038,0.6892136335372925,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.577386736869812
7,2,like,trial07-clicked_target-036,0,0.6899803876876831,46.371443596455975,0.7674427628517151,39.875196712110544,0.7596014142036438,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.577386736869812
7,3,like,trial07-clicked_target-020,0,0.7754796743392944,39.15145823686086,0.8333655595779419,33.5539693015342,0.8123732209205627,0.0,1.0,0.8,0.9,0.9395225786842207,0.0,0.5774577856063843
7,4,save,trial07-clicked_target-021,0,0.8122245073318481,35.686155317761454,0.8792892694473267,28.443253076393663,0.8695209622383118,0.0,1.0,1.0,1.0,1.0,0.2,0.570836067199707
7,5,save,trial07-clicked_target-014,0,0.8672677278518677,29.85733234954238,0.9153823852539062,23.739910692104537,0.9074088931083679,0.0,1.0,1.0,1.0,1.0,0.2,0.570836067199707
7,6,like,trial07-clicked_target-086,0,0.9094660878181458,24.568327211882863,0.9338890314102173,20.950604848897218,0.9252119660377502,0.0,1.0,1.0,1.0,1.0,0.2,0.5708578824996948
7,7,save,trial07-clicked_target-018,0,0.9238003492355347,22.511852446569925,0.9518289566040039,17.856224153582666,0.9432262182235718,0.0,1.0,1.0,1.0,1.0,0.2,0.5708578824996948
7,8,like,trial07-clicked_target-031,0,0.9431840777397156,19.40665375464888,0.9586763978004456,16.528891484955487,0.9517982602119446,0.0,1.0,1.0,1.0,1.0,0.2,0.570836067199707
7,9,save,trial07-clicked_target-062,0,0.9525245428085327,17.725788203527202,0.9701136350631714,14.043060833056963,0.9598338007926941,0.0,1.0,1.0,1.0,1.0,0.2,0.5708578824996948
7,10,like,trial07-clicked_target-050,0,0.9585680961608887,16.550688597291106,0.9699200391769409,14.088700832059958,0.9641312956809998,0.0,1.0,1.0,1.0,1.0,0.2,0.5708578824996948
