trial,first_quartile_theta_mean,last_quartile_theta_mean,angle_ratio_last_over_first,cosine_gain_last_over_first
1,46.06757231093123,15.655572487191806,0.3398393208464546,0.273027221361796
2,50.85948898275496,15.950524503763281,0.3136194409891075,0.33449176947275794
3,46.82670873212394,15.186684866131673,0.324316726016521,0.2836531400680542
4,48.267299910001434,15.458883390237139,0.32027653129679035,0.3026827573776245
5,54.59935165437915,16.444187840394445,0.3011791778131039,0.3838989734649658
6,54.16676749397834,16.625270660722858,0.3069275024131922,0.37568916877110803
7,46.37653771645782,15.421628781569325,0.3325308343597326,0.2776106198628743
8,53.08120033588335,16.257357099539348,0.30627335095414626,0.364252378543218
9,44.737536396665156,14.653019342499343,0.3275329962870198,0.2623004913330078
10,47.73770657013287,16.101500367937906,0.33729103312247977,0.29446144898732507
