trial,step,feedback_type,preupdate_max_cosine_to_liked,preupdate_angle_deg_to_liked,nearest_centroid_idx,feed_mean_similarity,feed_mean_similarity_to_target,feed_mean_relevance_at_20,feed_strict_precision_at_20,feed_soft_precision_at_20,picked_paper_true_relevance,picked_paper_target_similarity
1,1,save,0.9483538269996643,18.494551097492156,0,0.9700359106063843,0.9201720356941223,0.6000000238418579,0.4,0.8,1.0,0.9615755081176758
1,2,like,0.9373246431350708,20.39298774542735,0,0.9707463979721069,0.9241180419921875,0.6000000238418579,0.4,0.8,1.0,0.9630579948425293
1,3,like,0.9477511644363403,18.603097634000434,0,0.9697179794311523,0.9241180419921875,0.6000000238418579,0.4,0.8,1.0,0.958577036857605
1,4,save,0.9497973918914795,18.232012957412312,0,0.9688887596130371,0.9255713224411011,0.6000000238418579,0.4,0.8,1.0,0.9650790095329285
1,5,like,0.9533593654632568,17.568005478726317,0,0.968873143196106,0.9267045259475708,0.6000000238418579,0.4,0.8,1.0,0.9576174020767212
1,6,like,0.9655624628067017,15.080229579722856,0,0.9677249193191528,0.9256329536437988,0.6000000238418579,0.4,0.8,1.0,0.9667673707008362
1,7,like,0.9546300768852234,17.325168826237416,0,0.9682940244674683,0.9244526028633118,0.6000000238418579,0.4,0.8,1.0,0.9551544189453125
1,8,like,0.9573075771331787,16.802362860804507,0,0.9681331515312195,0.9267045259475708,0.6000000238418579,0.4,0.8,1.0,0.9557546377182007
1,9,like,0.9629948139190674,15.635701419759323,0,0.9676129221916199,0.9267045259475708,0.6000000238418579,0.4,0.8,1.0,0.9625167846679688
1,10,save,0.9553021192550659,17.19539626965341,0,0.9673700332641602,0.9247695207595825,0.6000000238418579,0.4,0.8,1.0,0.9632015824317932
1,11,like,0.9615036845207214,15.949621427556899,0,0.9688507914543152,0.9230283498764038,0.6000000238418579,0.4,0.8,1.0,0.9634277820587158
1,12,save,0.9617591500282288,15.896268418983468,0,0.9696446657180786,0.9255713224411011,0.6000000238418579,0.4,0.8,1.0,0.9633172750473022
2,1,save,0.9395128488540649,20.030093978391,0,0.9687801599502563,0.927796483039856,0.6000000238418579,0.4,0.8,1.0,0.9480574131011963
2,2,like,0.9414432644844055,19.704636288995268,0,0.9685131311416626,0.9251431226730347,0.6000000238418579,0.4,0.8,1.0,0.9498909711837769
2,3,like,0.9337491393089294,20.97300967522911,0,0.9686732292175293,0.926064670085907,0.6000000238418579,0.4,0.8,1.0,0.9459424614906311
2,4,like,0.9479082226753235,18.574868582113886,0,0.9683316946029663,0.9286646842956543,0.6000000238418579,0.4,0.8,1.0,0.9575589895248413
2,5,like,0.9535354375839233,17.53455205326579,0,0.9678205251693726,0.9286646842956543,0.6000000238418579,0.4,0.8,1.0,0.9525159001350403
2,6,like,0.9506997466087341,18.066032657191528,0,0.9684377908706665,0.9286646842956543,0.6000000238418579,0.4,0.8,1.0,0.9540841579437256
2,7,save,0.9523857831954956,17.751882380901822,0,0.9683957099914551,0.9276315569877625,0.6000000238418579,0.4,0.8,1.0,0.9575389623641968
2,8,like,0.9391582608222961,20.08932559214586,0,0.9680870771408081,0.9273497462272644,0.6000000238418579,0.4,0.8,1.0,0.9481290578842163
2,9,save,0.939139187335968,20.092506948453657,0,0.9672077298164368,0.9288171529769897,0.6000000238418579,0.4,0.8,1.0,0.9455007910728455
