trial,first_quartile_theta_mean,last_quartile_theta_mean,angle_ratio_last_over_first,cosine_gain_last_over_first
1,87.79801287283618,86.95889661753297,0.9904426509456591,0.014596514403820038
2,85.92460488472335,85.6416830528372,0.9967073246101542,0.004909485578536987
3,86.74922578380627,84.68651413842183,0.9762221319355049,0.03591434595485528
4,89.38247700398121,88.94523879833021,0.9951082335116812,0.007632289081811903
5,86.76999521309341,85.71997998763096,0.9878988673114044,0.018165489037831627
6,86.82576524992318,84.8415892577845,0.9771476129645695,0.03450720695157846
7,87.31754880254107,86.46498846260083,0.9902360939853201,0.014834050089120865
8,86.93993403709419,84.52258662769945,0.9721952007881287,0.04193256050348282
9,88.21849094760609,85.39995464159917,0.9680505042000676,0.04903653264045715
10,87.29950167263844,86.94181675393885,0.9959027839581391,0.006235322604576744
